cycle,run,start,busy,done,error,saturation,state,norm_state,sum_busy,sum_done,sqrt_busy,sqrt_done,div_busy,div_done,apply_busy,apply_done,sum_index,apply_index
67,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x03f,0x000
68,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x040,0x000
69,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x041,0x000
70,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x042,0x000
71,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x043,0x000
72,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x044,0x000
73,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x045,0x000
74,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x046,0x000
75,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x047,0x000
76,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x048,0x000
77,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x049,0x000
78,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x04a,0x000
79,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x04b,0x000
80,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x04c,0x000
81,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x04d,0x000
82,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x04e,0x000
83,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x04f,0x000
84,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x050,0x000
85,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x051,0x000
86,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x052,0x000
87,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x053,0x000
88,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x054,0x000
89,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x055,0x000
90,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x056,0x000
91,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x057,0x000
92,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x058,0x000
93,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x059,0x000
94,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x05a,0x000
95,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x05b,0x000
96,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x05c,0x000
97,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x05d,0x000
98,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x05e,0x000
99,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x05f,0x000
100,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x060,0x000
101,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x061,0x000
102,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x062,0x000
103,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x063,0x000
104,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x064,0x000
