cycle,req_valid,req_ready,req_accept,req_kv_head,req_position,req_dim,rsp_valid,rsp_ready,rsp_accept,rsp_data,score_valid,score_ready,score_accept,score_q_head,score_kv_head,score_position,score_raw,score_scaled,score_last,k_request_count,k_response_count,score_count
187,0,0,0,0,0,37,1,1,1,0xfffa69,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,38,37,0
188,1,1,1,0,0,38,0,0,0,0xfffa69,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,38,38,0
189,0,0,0,0,0,38,0,1,0,0xfffa69,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,39,38,0
190,0,0,0,0,0,38,0,1,0,0xfffa69,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,39,38,0
191,0,0,0,0,0,38,1,1,1,0xffe4fc,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,39,38,0
192,1,1,1,0,0,39,0,0,0,0xffe4fc,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,39,39,0
193,0,0,0,0,0,39,0,1,0,0xffe4fc,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,40,39,0
194,0,0,0,0,0,39,0,1,0,0xffe4fc,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,40,39,0
195,0,0,0,0,0,39,1,1,1,0xfffef4,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,40,39,0
196,1,0,0,0,0,40,0,0,0,0xfffef4,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,40,40,0
197,1,0,0,0,0,40,0,0,0,0xfffef4,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,40,40,0
198,1,1,1,0,0,40,0,0,0,0xfffef4,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,40,40,0
199,0,0,0,0,0,40,0,1,0,0xfffef4,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,41,40,0
200,0,0,0,0,0,40,0,1,0,0xfffef4,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,41,40,0
201,0,0,0,0,0,40,0,1,0,0xfffef4,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,41,40,0
202,0,0,0,0,0,40,1,1,1,0x000264,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,41,40,0
203,1,1,1,0,0,41,0,0,0,0x000264,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,41,41,0
204,0,0,0,0,0,41,0,1,0,0x000264,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,42,41,0
