cycle,req_valid,req_ready,req_accept,req_kv_head,req_position,req_dim,rsp_valid,rsp_ready,rsp_accept,rsp_data,score_valid,score_ready,score_accept,score_q_head,score_kv_head,score_position,score_raw,score_scaled,score_last,k_request_count,k_response_count,score_count
147,1,1,1,0,0,29,0,0,0,0x000c32,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,29,29,0
148,0,0,0,0,0,29,0,1,0,0x000c32,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,30,29,0
149,0,0,0,0,0,29,0,1,0,0x000c32,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,30,29,0
150,0,0,0,0,0,29,1,1,1,0x000e61,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,30,29,0
151,1,1,1,0,0,30,0,0,0,0x000e61,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,30,30,0
152,0,0,0,0,0,30,0,1,0,0x000e61,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,31,30,0
153,0,0,0,0,0,30,0,1,0,0x000e61,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,31,30,0
154,0,0,0,0,0,30,0,1,0,0x000e61,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,31,30,0
155,0,0,0,0,0,30,1,1,1,0xfffa90,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,31,30,0
156,1,1,1,0,0,31,0,0,0,0xfffa90,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,31,31,0
157,0,0,0,0,0,31,0,1,0,0xfffa90,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,32,31,0
158,0,0,0,0,0,31,0,1,0,0xfffa90,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,32,31,0
159,0,0,0,0,0,31,0,1,0,0xfffa90,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,32,31,0
160,0,0,0,0,0,31,0,1,0,0xfffa90,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,32,31,0
161,0,0,0,0,0,31,0,1,0,0xfffa90,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,32,31,0
162,0,0,0,0,0,31,1,1,1,0x000290,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,32,31,0
163,1,1,1,0,0,32,0,0,0,0x000290,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,32,32,0
164,0,0,0,0,0,32,0,1,0,0x000290,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,33,32,0
165,0,0,0,0,0,32,0,1,0,0x000290,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,33,32,0
166,0,0,0,0,0,32,1,1,1,0x00110b,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,33,32,0
167,1,1,1,0,0,33,0,0,0,0x00110b,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,33,33,0
168,0,0,0,0,0,33,0,1,0,0x00110b,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,34,33,0
169,0,0,0,0,0,33,0,1,0,0x00110b,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,34,33,0
170,0,0,0,0,0,33,1,1,1,0x000407,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,34,33,0
171,1,1,1,0,0,34,0,0,0,0x000407,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,34,34,0
172,0,0,0,0,0,34,0,1,0,0x000407,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,35,34,0
173,0,0,0,0,0,34,0,1,0,0x000407,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,35,34,0
174,0,0,0,0,0,34,1,1,1,0x00289d,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,35,34,0
175,1,1,1,0,0,35,0,0,0,0x00289d,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,35,35,0
176,0,0,0,0,0,35,0,1,0,0x00289d,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,36,35,0
177,0,0,0,0,0,35,0,1,0,0x00289d,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,36,35,0
178,0,0,0,0,0,35,0,1,0,0x00289d,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,36,35,0
179,0,0,0,0,0,35,1,1,1,0x000288,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,36,35,0
180,1,1,1,0,0,36,0,0,0,0x000288,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,36,36,0
181,0,0,0,0,0,36,0,1,0,0x000288,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,37,36,0
182,0,0,0,0,0,36,0,1,0,0x000288,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,37,36,0
183,0,0,0,0,0,36,1,1,1,0xfffc46,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,37,36,0
184,1,1,1,0,0,37,0,0,0,0xfffc46,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,37,37,0
185,0,0,0,0,0,37,0,1,0,0xfffc46,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,38,37,0
186,0,0,0,0,0,37,0,1,0,0xfffc46,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,38,37,0
